Fund Name,ISIN,Asset Class,Sub-Category,Region,Funding Source,Distribution Type,Risk Rating (1-7),Fund Fees % p.a. (after Endowus cashback),1Y Return %,3Y Return % (annualised),1Y Payout % (Dist. funds)
Capital Group New Economy Fund,LU2050929780,Equity,Growth,Global,CPF OA,Accumulating,5,0.9,44.2,23.7,
Capital Group New Economy Fund AUD-Hedged,LU2230629201,Equity,Growth,Global,AUD Cash,Accumulating,5,0.9,44.8,23.4,
Amundi Prime USA Fund,LU2420245594,Equity,Index,US,USD Cash,Accumulating,5,0.05,30.5,21.6,
Amundi Prime USA Fund,LU2420246055,Equity,Index,US,"SGD Cash, CPF OA, SRS",Accumulating,5,0.05,27.3,19.8,
PIMCO GIS StocksPLUS Fund,IE0002459539,Equity,Large Cap,US,USD Cash,Accumulating,5,0.55,31.6,21.5,
iShares US Index Fund (IE) S&P 500,IE00BD0NCT25,Equity,Index,US,USD Cash,Accumulating,5,0.08,30.6,20.9,
iShares US Index Fund (IE) S&P 500,IE0000F26BG9,Equity,Index,US,"SGD Cash, SRS",Accumulating,5,0.08,27.3,19.0,
LionGlobal Infinity U.S. 500 Stock Index Fund,SG9999003297,Equity,Index,US,USD Cash,Accumulating,5,0.29,29.8,20.5,
LionGlobal Infinity U.S. 500 Stock Index Fund,SG9999003289,Equity,Index,US,"SGD Cash, SRS",Accumulating,5,0.29,26.6,18.6,
Allspring US All Cap Growth Fund,LU0353189763,Equity,Growth,US,USD Cash,Accumulating,5,0.95,28.7,20.7,
Allspring US All Cap Growth Fund SGD-Hedged,LU2087625088,Equity,Growth,US,SGD Cash,Accumulating,5,1.03,23.8,16.9,
AB American Growth Portfolio Fund,LU0079475348,Equity,Growth,US,USD Cash,Accumulating,5,0.94,22.9,19.3,
AB American Growth Portfolio Fund,LU0289923608,Equity,Growth,US,SGD Cash,Accumulating,5,0.98,18.8,16.5,
AB American Growth Portfolio Fund SGD-Hedged,LU1979441026,Equity,Growth,US,SGD Cash,Accumulating,5,0.99,18.2,15.7,
Goldman Sachs North America Enhanced Index Sustainable Equity Fund,LU2037301442,Equity,ESG/Index,US,USD Cash,Accumulating,5,0.38,27.8,19.5,
Goldman Sachs North America Enhanced Index Sustainable Equity Fund,LU2715298308,Equity,ESG/Index,US,"SGD Cash, SRS",Accumulating,5,0.38,24.7,,
Dimensional US Core Equity Fund,IE00BYTYVB81,Equity,Index/Factor,US,USD Cash,Accumulating,5,0.23,30.9,18.7,
Dimensional US Core Equity Fund,IE00BLFJBY96,Equity,Index/Factor,US,"SGD Cash, SRS",Accumulating,5,0.23,27.5,16.8,
PineBridge US Large Cap Research Enhanced Fund,IE00BWXC8680,Equity,Large Cap,US,"SGD Cash, CPF OA, SRS",Accumulating,5,0.76,21.9,17.4,
Franklin U.S. Opportunities Fund,LU1267930730,Equity,Growth,US,CPF OA,Accumulating,5,1.0,16.6,17.3,
Franklin U.S. Opportunities Fund,LU0320765059,Equity,Growth,US,"SGD Cash, SRS",Accumulating,5,1.05,16.5,17.1,
(Natixis) Harris Associates U.S. Value Equity Fund,LU0130102774,Equity,Value,US,USD Cash,Accumulating,5,1.1,15.3,14.4,
(Natixis) Harris Associates U.S. Value Equity Fund SGD-Hedged,LU1201861249,Equity,Value,US,CPF OA,Accumulating,5,1.05,12.2,12.0,
(Natixis) Harris Associates U.S. Value Equity Fund SGD-Hedged,LU0980610538,Equity,Value,US,"SGD Cash, SRS",Accumulating,5,1.1,12.0,11.8,
UBS US Total Yield Fund,LU0868494617,Equity,Dividend,US,USD Cash,Accumulating,5,0.96,25.7,14.8,
UBS US Total Yield Fund SGD-Hedged (Dist.),LU1257167418,Equity,Dividend,US,"SGD Cash, SRS",Distributing,5,0.99,22.2,12.3,4.2
T. Rowe Price Funds SICAV - US Smaller Companies Equity Fund,LU0133096635,Equity,Small Cap,US,USD Cash,Accumulating,6,0.81,25.9,11.3,
T. Rowe Price Funds SICAV - US Smaller Companies Equity Fund,LU2867336898,Equity,Small Cap,US,"SGD Cash, SRS",Accumulating,5,0.82,22.9,,
(Natixis) Ossiam Shiller Barclays CAPE US Sector Value Fund,LU2743106184,Equity,Value,US,USD Cash,Accumulating,5,0.85,9.5,,
(Natixis) Ossiam Shiller Barclays CAPE US Sector Value Fund,LU2743150752,Equity,Value,US,SGD Cash,Accumulating,5,0.85,6.9,,
Infinity U.S. 500 Stock Index Fund,SGXZ39775085,Equity,Index,US,CPF OA,Accumulating,5,0.33,,,
Allspring Global Equity Enhanced Income Fund (Dist.),LU2125154935,Equity,Dividend,Global,USD Cash,Distributing,5,0.7,35.5,22.4,5.4
Allspring Global Equity Enhanced Income Fund SGD-Hedged (Dist.),LU2360032135,Equity,Dividend,Global,"SGD Cash, SRS",Distributing,5,0.8,30.8,18.9,5.5
Allspring Global Equity Enhanced Income Fund,LU3076206690,Equity,Dividend,Global,USD Cash,Accumulating,5,0.8,,,
T. Rowe Price Funds SICAV - Global Value Equity Fund,LU0859254822,Equity,Value,Global,USD Cash,Accumulating,5,0.86,42.0,20.6,
T. Rowe Price Funds SICAV - Global Value Equity Fund SGD-Hedged,LU2357627491,Equity,Value,Global,"SGD Cash, SRS",Accumulating,5,0.89,39.2,18.5,
GMO Quality Investment Fund,IE00B3SBSR82,Equity,Quality,Global,USD Cash,Accumulating,5,0.53,22.9,18.3,
GMO Quality Investment Fund,IE00BN15TB84,Equity,Quality,Global,SGD Cash,Accumulating,5,0.53,19.9,16.4,
Neuberger Berman Global Equity Megatrends Fund,IE00BFMHRM44,Equity,Megatrend,Global,USD Cash,Accumulating,6,1.04,22.7,18.1,
Neuberger Berman Global Equity Megatrends Fund SGD-Hedged,IE000HM1TOC0,Equity,Megatrend,Global,"SGD Cash, SRS",Accumulating,6,0.96,19.5,,
Dimensional World Equity Fund,IE00B3V7VL84,Equity,Index/Factor,Global,USD Cash,Accumulating,5,0.35,32.8,17.8,
Dimensional World Equity Fund,IE00BF20L762,Equity,Index/Factor,Global,"SGD Cash, SRS",Accumulating,5,0.35,29.4,15.9,
Dimensional World Equity Fund,IE00B4MJ5D07,Equity,Index/Factor,Global,EUR Cash,Accumulating,5,0.35,28.1,15.3,
Dimensional World Equity Fund,IE00B3Z8MM50,Equity,Index/Factor,Global,GBP Cash,Accumulating,5,0.35,30.0,14.7,
Goldman Sachs Global Enhanced Index Sustainable Equity Fund,LU2037301012,Equity,ESG/Index,Global,USD Cash,Accumulating,5,0.38,26.7,18.1,
Goldman Sachs Global Enhanced Index Sustainable Equity Fund,LU2391393886,Equity,ESG/Index,Global,"SGD Cash, SRS",Accumulating,5,0.38,23.5,16.4,
Capital Group New Perspective Fund,LU1295555210,Equity,Growth,Global,USD Cash,Accumulating,5,0.84,23.0,16.8,
Capital Group New Perspective Fund,LU1295555137,Equity,Growth,Global,"SGD Cash, SRS",Accumulating,5,0.84,19.8,15.0,
Capital Group New Perspective Fund,LU1295551490,Equity,Growth,Global,CPF OA,Accumulating,5,0.84,19.0,14.2,
Capital Group New Perspective Fund AUD-Hedged,LU1865209396,Equity,Growth,Global,AUD Cash,Accumulating,5,0.84,19.5,14.1,
Capital Group New Perspective Fund,LU1295554759,Equity,Growth,Global,CHF Cash,Accumulating,5,0.84,16.4,11.7,
Fidelity Global Dividend Fund,LU0605515963,Equity,Dividend,Global,USD Cash,Accumulating,5,1.04,17.1,15.9,
Fidelity Global Dividend Fund (Dist.),LU1509826696,Equity,Dividend,Global,USD Cash,Distributing,5,1.14,16.1,14.9,4.7
Fidelity Global Dividend Fund (Dist.),LU0731783394,Equity,Dividend,Global,"SGD Cash, SRS",Distributing,5,1.14,13.3,13.2,2.2
Fidelity Global Dividend Fund AUD-Hedged (Dist.),LU0982800491,Equity,Dividend,Global,AUD Cash,Distributing,5,1.14,15.5,14.0,2.2
Fidelity Global Dividend Fund,LU1380763851,Equity,Dividend,Global,CPF OA,Accumulating,5,1.04,13.6,13.4,
Dimensional Global Targeted Value Fund,IE00B2PC0609,Equity,Value/Small,Global,USD Cash,Accumulating,6,0.44,31.9,16.0,
Dimensional Global Targeted Value Fund,IE00BF20L986,Equity,Value/Small,Global,"SGD Cash, SRS",Accumulating,6,0.44,28.5,14.2,
abrdn SICAV I - Global Dynamic Dividend Fund (Dist.),LU2237443382,Equity,Dividend,Global,USD Cash,Distributing,5,0.92,25.7,12.8,5.2
abrdn SICAV I - Global Dynamic Dividend Fund SGD-Hedged,LU2237443978,Equity,Dividend,Global,"SGD Cash, SRS",Accumulating,5,0.92,22.1,10.3,
abrdn SICAV I - Global Dynamic Dividend Fund SGD-Hedged (Dist.),LU2237443549,Equity,Dividend,Global,"SGD Cash, SRS",Distributing,5,0.92,22.1,10.3,5.7
Goldman Sachs Global Future Generations Equity Portfolio Fund,LU2250369779,Equity,Megatrend,Global,SGD Cash,Accumulating,6,0.76,19.2,12.7,
Nordea 1 – Global Sustainable Stars Equity Fund,LU0985320562,Equity,ESG,Global,USD Cash,Accumulating,5,1.04,22.0,12.5,
Nordea 1 – Global Sustainable Stars Equity Fund,LU2800639671,Equity,ESG,Global,"SGD Cash, SRS",Accumulating,5,1.05,18.6,,
Schroder ISF Global Sustainable Growth Fund,LU2289884723,Equity,ESG/Growth,Global,"SGD Cash, SRS",Accumulating,5,0.83,19.7,11.9,
Schroder ISF Global Sustainable Growth Fund,LU2158556196,Equity,ESG/Growth,Global,CPF OA,Accumulating,5,0.83,18.9,11.2,
Schroder ISF Global Sustainable Growth Fund,LU2399671085,Equity,ESG/Growth,Global,SRS,Accumulating,5,1.25,18.8,11.1,
(Natixis) Mirova Thematic Safety Fund,LU1923622291,Equity,Thematic,Global,USD Cash,Accumulating,6,1.13,8.0,11.2,
(Natixis) Thematics Safety Fund,LU2125909916,Equity,Thematic,Global,"SGD Cash, SRS",Accumulating,6,1.13,5.3,9.5,
Amova Global Equity Fund,LU2237957902,Equity,Quality,Global,USD Cash,Accumulating,5,0.81,5.6,11.4,
Amova Global Equity Fund,LU2237957811,Equity,Quality,Global,"SGD Cash, CPF OA, SRS",Accumulating,5,0.81,3.0,,
(Natixis) ESG Mirova Global Sustainable Equity USD-Hedged,LU1712236956,Equity,ESG,Global,USD Cash,Accumulating,5,0.95,12.7,11.0,
(Natixis) ESG Mirova Global Sustainable Equity Fund SGD-Hedged,LU1712237335,Equity,ESG,Global,"SGD Cash, SRS",Accumulating,5,0.95,9.7,8.5,
Templeton Shariah Global Equity Fund,LU1267930813,Equity,Shariah,Global,CPF OA,Accumulating,5,1.05,28.7,10.8,
Templeton Shariah Global Equity Fund,LU0889566641,Equity,Shariah,Global,"SGD Cash, SRS",Accumulating,5,1.15,28.5,10.6,
HSBC Islamic Global Equity Index Fund,LU2602419157,Equity,Shariah/Index,Global,SGD Cash,Accumulating,5,0.62,34.5,,
BlackRock BGF Sustainable Energy Fund,LU0252969661,Equity,Clean Energy,Global,USD Cash,Accumulating,6,1.22,70.3,14.9,
BlackRock BGF Sustainable Energy Fund SGD-Hedged,LU2419774711,Equity,Clean Energy,Global,"SGD Cash, SRS",Accumulating,6,1.2,65.3,12.0,
Schroder ISF Global Climate Change Fund,LU0312595415,Equity,Climate,Global,"SGD Cash, SRS",Accumulating,6,1.38,37.1,12.0,
Allianz Smart Energy Fund,LU2048586593,Equity,Clean Energy,Global,USD Cash,Accumulating,6,1.18,58.2,10.4,
Allianz Smart Energy Fund SGD-Hedged,LU2393953505,Equity,Clean Energy,Global,"SGD Cash, SRS",Accumulating,6,1.15,52.7,6.9,
Allianz Thematica Fund,LU1917777945,Equity,Thematic,Global,USD Cash,Accumulating,6,1.15,21.6,9.0,
Allianz Thematica Fund SGD-Hedged,LU2023250843,Equity,Thematic,Global,"SGD Cash, SRS",Accumulating,6,1.15,18.3,6.5,
AB Sustainable Global Thematic Portfolio Fund,LU0069063542,Equity,ESG/Thematic,Global,USD Cash,Accumulating,5,1.07,12.4,8.1,
AB Sustainable Global Thematic Portfolio Fund,LU0289739343,Equity,ESG/Thematic,Global,SGD Cash,Accumulating,5,1.04,8.7,5.5,
BlackRock BGF Future of Transport Fund,LU1861214903,Equity,Thematic,Global,USD Cash,Accumulating,6,1.0,44.4,7.9,
BlackRock BGF Future of Transport Fund SGD-Hedged,LU1861219969,Equity,Thematic,Global,"SGD Cash, SRS",Accumulating,6,1.3,38.9,4.4,
Ninety One Global Environment Fund,LU1939255615,Equity,ESG/Environment,Global,USD Cash,Accumulating,6,0.99,29.9,7.9,
Ninety One Global Environment Fund SGD-Hedged,LU2257466305,Equity,ESG/Environment,Global,SGD Cash,Accumulating,6,1.19,25.0,4.2,
Nordea 1 – Global Impact Fund,LU2355687059,Equity,Impact,Global,USD Cash,Accumulating,6,1.18,12.3,6.7,
Nordea 1 – Global Impact Fund SGD-Hedged,LU2840086693,Equity,Impact,Global,SGD Cash,Accumulating,5,1.53,9.1,,
(Natixis) Harris Associates Global Equity Fund,LU0130103400,Equity,Value,Global,USD Cash,Accumulating,5,1.23,14.0,7.6,
(Natixis) Harris Associates Global Equity Fund,LU1201861165,Equity,Value,Global,CPF OA,Accumulating,6,1.0,11.6,6.4,
(Natixis) Harris Associates Global Equity Fund,LU0648000940,Equity,Value,Global,"SGD Cash, SRS",Accumulating,6,1.2,11.2,6.0,
(Natixis) Mirova Thematic Meta Fund,LU1923622614,Equity,Thematic,Global,USD Cash,Accumulating,6,1.13,6.2,7.5,
(Natixis) Thematics Meta Fund,LU2125909593,Equity,Thematic,Global,"SGD Cash, SRS",Accumulating,6,1.13,3.5,5.9,
(Natixis) Mirova Thematic Subscription Economy Fund,LU2095319765,Equity,Thematic,Global,USD Cash,Accumulating,6,1.13,-14.0,3.1,
(Natixis) Thematics Subscription Economy Fund,LU2210150020,Equity,Thematic,Global,"SGD Cash, SRS",Accumulating,6,1.13,-16.1,1.5,
UOBAM United Global Durable Equities Fund,SG9999014005,Equity,Quality,Global,"SGD Cash, SRS",Accumulating,6,1.06,-0.7,5.7,
UOBAM United Global Quality Growth Fund,SG9999017495,Equity,Growth,Global,"SGD Cash, SRS",Accumulating,5,1.18,1.1,4.0,
UOBAM United Global Quality Growth Fund SGD-Hedged,SGXZ31699556,Equity,Growth,Global,CPF OA,Accumulating,5,1.11,0.8,3.4,
GMO Climate Change Transition Investment Fund,IE00BDT8RF97,Equity,Climate,Global,USD Cash,Accumulating,6,0.83,88.0,4.1,
GMO Climate Change Transition Investment Fund,IE000N5QCMO9,Equity,Climate,Global,SGD Cash,Accumulating,6,0.83,83.3,2.4,
BlackRock BGF Global Unconstrained Equity Fund,LU2720917066,Equity,Concentrated,Global,USD Cash,Accumulating,6,1.06,32.8,,
BlackRock BGF Global Unconstrained Equity Fund SGD-Hedged,LU2764263039,Equity,Concentrated,Global,"SGD Cash, SRS",Accumulating,6,1.29,27.9,,
Fidelity Funds 2 - Global Discovery Fund,LU2755903551,Equity,Discovery,Global,USD Cash,Accumulating,6,1.09,23.7,,
Fidelity Funds 2 - Global Discovery Fund SGD-Hedged,LU2755903635,Equity,Discovery,Global,SGD Cash,Accumulating,6,1.19,19.2,,
Amundi Index MSCI World Fund,LU2420245321,Equity,Index,Developed Markets,USD Cash,Accumulating,5,0.1,29.1,19.7,
Amundi Index MSCI World Fund,LU2420245917,Equity,Index,Developed Markets,"SGD Cash, CPF OA, SRS",Accumulating,5,0.1,26.0,17.9,
iShares Developed World Index Fund (IE),IE00BD0NCN62,Equity,Index,Developed Markets,USD Cash,Accumulating,5,0.12,29.1,19.7,
iShares Developed World Index Fund (IE),IE000NNYZMJ7,Equity,Index,Developed Markets,"SGD Cash, SRS",Accumulating,5,0.12,25.9,17.8,
iShares Developed World Index Fund (IE) SGD-Hedged,IE000XUK0R09,Equity,Index,Developed Markets,"SGD Cash, SRS",Accumulating,5,0.14,25.7,17.4,
Dimensional Global Core Equity Fund,IE00B2PC0153,Equity,Index/Factor,Developed Markets,USD Cash,Accumulating,5,0.26,30.3,18.0,
Dimensional Global Core Equity Fund,IE00BF20L879,Equity,Index/Factor,Developed Markets,"SGD Cash, SRS",Accumulating,5,0.26,27.0,16.2,
Dimensional Global Core Equity Fund,IE00B2PC0260,Equity,Index/Factor,Developed Markets,EUR Cash,Accumulating,5,0.26,25.8,15.6,
Dimensional Global Core Equity Fund,IE00B2PC0484,Equity,Index/Factor,Developed Markets,GBP Cash,Accumulating,5,0.26,27.6,14.9,
Dimensional Global Core Equity III Fund,IE000NWYHL53,Equity,Index/Factor,Global,"SGD Cash, CPF OA",Accumulating,5,0.33,26.9,,
Dimensional Global Core Equity Lower Carbon ESG Screened,IE00B8DMPF88,Equity,ESG/Index,Developed Markets,USD Cash,Accumulating,5,0.27,26.3,17.7,
Dimensional Global Core Equity Lower Carbon ESG Screened,IE00BLFJC025,Equity,ESG/Index,Developed Markets,"SGD Cash, SRS",Accumulating,5,0.27,23.1,15.9,
LionGlobal Infinity Global Stock Index Fund,SGXZ68939370,Equity,Index,Developed Markets,CPF OA,Accumulating,5,0.36,25.7,17.5,
LionGlobal Infinity Global Stock Index Fund,SG9999003321,Equity,Index,Developed Markets,"SGD Cash, CPF OA, SRS",Accumulating,5,0.26,25.3,17.1,
AB Low Volatility Equity Portfolio Fund AUD-Hedged,LU0965508988,Equity,Low Vol,Developed Markets,AUD Cash,Accumulating,5,0.93,10.8,11.5,
AB Low Volatility Equity Portfolio Fund SGD-Hedged,LU1037949515,Equity,Low Vol,Developed Markets,SGD Cash,Accumulating,5,0.88,9.2,11.3,
AB Low Volatility Equity Portfolio Fund SGD-Hedged (Dist.),LU0965509283,Equity,Low Vol,Developed Markets,SGD Cash,Distributing,5,0.93,8.3,10.4,3.0
Dimensional Emerging Markets Large Cap Core Equity Fund,IE00BYVJQT42,Equity,Index/Factor,Emerging Markets,USD Cash,Accumulating,6,0.37,49.7,20.7,
Dimensional Emerging Markets Large Cap Core Equity Fund,IE00BF20LB02,Equity,Index/Factor,Emerging Markets,"SGD Cash, SRS",Accumulating,6,0.36,45.9,18.9,
Dimensional Emerging Markets Large Cap Core Equity Fund,IE00BWGCG836,Equity,Index/Factor,Emerging Markets,EUR Cash,Accumulating,6,0.36,44.5,18.2,
Dimensional Emerging Markets Large Cap Core Equity III Fund,IE000H91D406,Equity,Index/Factor,Emerging Markets,"SGD Cash, CPF OA",Accumulating,6,0.41,44.2,,
Dimensional Emerging Markets Core Equity Lower Carbon ESG Screened,IE00BLCGQY87,Equity,ESG/Index,Emerging Markets,"SGD Cash, SRS",Accumulating,6,0.51,36.9,16.5,
Dimensional Emerging Markets Sustainability Core Equities Fund,IE00BLCGQW63,Equity,ESG/Index,Emerging Markets,GBP Cash,Accumulating,6,0.51,37.5,15.2,
Goldman Sachs Emerging Markets Equity Portfolio Fund,LU0234572377,Equity,Active,Emerging Markets,USD Cash,Accumulating,6,0.89,54.2,20.6,
Goldman Sachs Emerging Markets Equity Portfolio Fund,LU2464814404,Equity,Active,Emerging Markets,SGD Cash,Accumulating,6,0.9,50.4,18.8,
Goldman Sachs Emerging Markets Enhanced Index Sustainable Equity Fund,LU0051128774,Equity,ESG/Enhanced,Emerging Markets,USD Cash,Accumulating,6,0.43,47.4,20.1,
Goldman Sachs Emerging Markets Enhanced Index Sustainable Equity Fund,LU0577850554,Equity,ESG/Enhanced,Emerging Markets,"SGD Cash, SRS",Accumulating,6,0.43,43.8,18.3,
Amundi Core MSCI Emerging Markets,LU2420245750,Equity,Index,Emerging Markets,USD Cash,Accumulating,6,0.2,46.7,20.5,
Amundi Core MSCI Emerging Markets Fund,LU2420246139,Equity,Index,Emerging Markets,"SGD Cash, CPF OA, SRS",Accumulating,6,0.2,43.1,18.7,
Schroder Global Emerging Markets Opportunities Fund,SG9999006852,Equity,Active,Emerging Markets,"SGD Cash, CPF OA, SRS",Accumulating,6,1.21,57.6,20.0,
JPM Emerging Markets Dividend Fund (Dist.),LU0862451837,Equity,Dividend,Emerging Markets,USD Cash,Distributing,6,1.05,43.1,18.6,3.6
JPM Emerging Markets Dividend Fund (Dist.),LU0862451753,Equity,Dividend,Emerging Markets,"SGD Cash, SRS",Distributing,6,1.05,39.6,16.8,3.6
abrdn SICAV I - Emerging Markets SDG Equity Fund,LU2153592121,Equity,ESG,Emerging Markets,USD Cash,Accumulating,6,0.62,52.5,18.1,
abrdn SICAV I - Emerging Markets SDG Equity Fund SGD-Hedged,LU2348774022,Equity,ESG,Emerging Markets,"SGD Cash, SRS",Accumulating,6,0.62,48.0,15.3,
Fidelity Sustainable Emerging Markets Equity Fund,LU1102506141,Equity,ESG,Emerging Markets,USD Cash,Accumulating,6,1.07,34.1,11.8,
Stewart Investors Global Emerging Markets All Cap Fund,IE000AQHA357,Equity,All Cap,Emerging Markets,USD Cash,Accumulating,6,1.0,6.3,3.7,
Stewart Investors Global Emerging Markets All Cap Fund,IE000P5M9KF7,Equity,All Cap,Emerging Markets,"SGD Cash, SRS",Accumulating,6,1.0,4.0,,
Federated Hermes Asia ex-Japan Equity Fund,IE00B8H6X308,Equity,Active,Asia ex-Japan,USD Cash,Accumulating,6,0.83,45.1,21.0,
Federated Hermes Asia ex-Japan Equity Fund SGD-Hedged,IE000008O170,Equity,Active,Asia ex-Japan,SGD Cash,Accumulating,6,0.87,41.0,,
HSBC GIF Asia Pacific ex Japan Equity High Dividend Fund (Dist.),LU0197773673,Equity,Dividend,Asia ex-Japan,USD Cash,Distributing,6,1.1,44.9,19.0,0.9
HSBC GIF Asia Pacific ex Japan Equity High Dividend Fund (Dist.),LU0630378429,Equity,Dividend,Asia ex-Japan,"SGD Cash, SRS",Distributing,6,1.1,37.1,13.1,2.7
Schroder ISF Asian Opportunities Fund,LU2264145090,Equity,Active,Asia,"SGD Cash, SRS",Accumulating,6,1.04,54.4,17.2,
Dimensional Pacific Basin Small Companies Fund,IE0034140404,Equity,Small Cap,Asia Pacific,USD Cash,Accumulating,6,0.54,37.3,16.6,
