Fund Name,ISIN,Asset Class,Sub-Category,Region,Funding Source,Distribution Type,Risk Rating (1-7),Fund Fees % p.a. (after Endowus cashback),1Y Return %,3Y Return % (annualised),1Y Payout % (Dist. funds)
BlackRock BGF European Equity Income Fund SGD-Hedged (Dist.),LU2357541858,Equity,Dividend,Europe,"SGD Cash, SRS",Distributing,5,1.07,11.9,10.1,3.5
LionGlobal Infinity European Stock Index Fund,SG9999003305,Equity,Index,Europe,"SGD Cash, SRS",Accumulating,5,0.66,18.5,11.9,
Jupiter European Select Fund,LU2259627821,Equity,Active,Europe,USD Cash,Accumulating,5,0.97,24.7,10.0,
Jupiter European Select Fund,LU2572953623,Equity,Active,Europe,SGD Cash,Accumulating,5,0.95,22.7,9.1,
Jupiter European Select Fund,LU0946223103,Equity,Active,Europe,EUR Cash,Accumulating,5,0.95,21.9,8.5,
Allianz Europe Equity Growth Fund USD-Hedged,LU0857590862,Equity,Growth,Europe,USD Cash,Accumulating,5,1.1,-2.0,1.0,
Allianz Europe Equity Growth Fund SGD-Hedged,LU0827474353,Equity,Growth,Europe,"SGD Cash, SRS",Accumulating,5,1.1,-4.5,-1.2,
abrdn European Sustainable Equity Fund,SG9999000392,Equity,ESG,Europe,"SGD Cash, CPF OA, SRS",Accumulating,5,1.0,-5.7,0.1,
Fullerton Singapore Value-Up,SGXZ16066938,Equity,Value,Singapore,"SGD Cash, SRS",Accumulating,6,0.84,,,
Amundi Singapore Straits Times (STI) Fund,LU3043533333,Equity,Index,Singapore,"SGD Cash, SRS",Accumulating,5,0.15,,,
Nordea 1 – Global Real Estate Fund,LU0705260189,Equity,Real Estate,Global,USD Cash,Accumulating,6,1.24,15.6,8.3,
Nordea 1 – Global Real Estate Fund SGD-Hedged,LU2887856784,Equity,Real Estate,Global,SGD Cash,Accumulating,6,1.33,12.4,,
Nordea 1 – Global Real Estate Fund SGD-Hedged (Dist.),LU2887856602,Equity,Real Estate,Global,SGD Cash,Distributing,6,1.22,12.4,,3.3
BlackRock BSF Global Real Assets Securities Fund,LU1669036458,Equity,Real Estate,Global,USD Cash,Accumulating,6,0.93,15.2,7.5,
BlackRock BSF Global Real Assets Securities Fund (Dist.),LU2047633727,Equity,Real Estate,Global,USD Cash,Distributing,6,0.93,15.2,7.5,9.1
BlackRock BSF Global Real Assets Securities Fund SGD-Hedged (Dist.),LU2364470067,Equity,Real Estate,Global,"SGD Cash, SRS",Distributing,6,0.93,11.8,4.9,9.2
Janus Henderson Horizon Global Property Equities Fund,LU0209137388,Equity,Real Estate,Global,USD Cash,Accumulating,6,1.17,17.5,6.4,
Janus Henderson Horizon Global Property Equities Fund (Dist.),LU1316542866,Equity,Real Estate,Global,"SGD Cash, SRS",Distributing,6,1.14,14.7,4.8,2.6
BlackRock BGF World Real Estate Securities SGD-Hedged (Dist.),LU2190626643,Equity,Real Estate,Global,"SGD Cash, SRS",Distributing,6,1.29,12.5,5.2,3.1
M&G (Lux) Global Listed Infrastructure Fund,LU1665236995,Equity,Infrastructure,Global,USD Cash,Accumulating,6,1.18,17.3,7.1,
M&G (Lux) Global Listed Infrastructure Fund (Dist.),LU1665236722,Equity,Infrastructure,Global,USD Cash,Distributing,6,1.18,17.3,7.1,3.0
M&G (Lux) Global Listed Infrastructure Fund SGD-Hedged,LU2404738366,Equity,Infrastructure,Global,SGD Cash,Accumulating,6,1.2,14.0,4.5,
M&G (Lux) Global Listed Infrastructure Fund SGD-Hedged (Dist.),LU2404738283,Equity,Infrastructure,Global,SGD Cash,Distributing,6,1.2,14.0,4.5,3.1
KBI Global Sustainable Infrastructure Fund (Dist.),IE00BN6Q9X81,Equity,Infrastructure,Global,USD Cash,Distributing,6,0.9,19.7,5.4,1.4
KBI Global Sustainable Infrastructure Fund (Dist.),IE00BN6Q9Y98,Equity,Infrastructure,Global,SGD Cash,Distributing,6,0.9,18.5,3.8,2.9
KBI Global Sustainable Infrastructure Fund,IE00BN6Q9V67,Equity,Infrastructure,Global,"SGD Cash, SRS",Accumulating,6,0.92,19.2,,
Fidelity Global Financial Services Fund,LU1711970159,Equity,Financial Services,Global,USD Cash,Accumulating,6,1.05,11.7,18.9,
Fidelity Global Financial Services Fund,LU1363072403,Equity,Financial Services,Global,"SGD Cash, SRS",Accumulating,5,1.15,8.1,16.1,
abrdn SICAV I - Frontier Markets Bond Fund,LU1725895616,Fixed Income,Government Bond,Emerging Markets,USD Cash,Accumulating,5,0.93,25.1,19.2,
abrdn SICAV I - Frontier Markets Bond Fund (Dist.),LU0963865083,Fixed Income,Government Bond,Emerging Markets,USD Cash,Distributing,5,0.93,25.1,19.2,8.2
abrdn SICAV I - Frontier Markets Bond Fund SGD-Hedged,LU2066861621,Fixed Income,Government Bond,Emerging Markets,"SGD Cash, SRS",Accumulating,5,0.93,21.8,16.7,
PIMCO GIS Emerging Markets Bond Fund,IE0030759645,Fixed Income,Investment Grade,Emerging Markets,USD Cash,Accumulating,5,0.79,13.9,11.7,
PIMCO GIS Emerging Markets Bond Fund GBP-Hedged,IE0034235410,Fixed Income,Investment Grade,Emerging Markets,GBP Cash,Accumulating,5,0.79,13.6,11.3,
PIMCO GIS Emerging Markets Bond Fund EUR-Hedged,IE0032568770,Fixed Income,Investment Grade,Emerging Markets,EUR Cash,Accumulating,5,0.79,11.4,9.5,
PIMCO GIS Emerging Markets Bond Fund SGD-Hedged,IE00BG88PX59,Fixed Income,Investment Grade,Emerging Markets,"SGD Cash, SRS",Accumulating,5,0.79,10.9,9.4,
iShares Emerging Markets Government Bond Index Fund (IE),IE00BF2N5T53,Fixed Income,Government Bond,Emerging Markets,USD Cash,Accumulating,4,0.18,12.5,10.0,
iShares Emerging Markets Government Bond Index Fund (IE),IE000239FXR9,Fixed Income,Government Bond,Emerging Markets,"SGD Cash, SRS",Accumulating,3,0.18,9.8,8.4,
M&G Emerging Markets Bond Fund,LU1670632337,Fixed Income,Bond,Emerging Markets,USD Cash,Accumulating,5,0.72,11.7,9.7,
M&G Emerging Markets Bond Fund (Dist.),LU1903670880,Fixed Income,Bond,Emerging Markets,USD Cash,Distributing,5,0.72,11.7,9.7,7.5
M&G Emerging Markets Bond Fund SGD-Hedged (Dist.),LU2402425750,Fixed Income,Bond,Emerging Markets,SGD Cash,Distributing,5,0.75,8.7,7.3,7.6
M&G Emerging Markets Bond Fund SGD-Hedged,LU2402425834,Fixed Income,Bond,Emerging Markets,SGD Cash,Accumulating,5,0.75,8.7,7.3,
Neuberger Berman Short Duration Emerging Market Debt Fund (Dist.),IE00BMN94611,Fixed Income,Short Duration IG,Emerging Markets,USD Cash,Distributing,4,0.58,7.8,8.0,6.5
Neuberger Berman Short Duration Emerging Market Debt Fund,IE00BDZRXR46,Fixed Income,Short Duration IG,Emerging Markets,USD Cash,Accumulating,4,0.58,7.8,8.0,
Neuberger Berman Short Duration Emerging Market Debt Fund AUD-Hedged (Dist.),IE00BMN93860,Fixed Income,Short Duration IG,Emerging Markets,AUD Cash,Distributing,4,0.58,7.3,7.1,6.5
Neuberger Berman Short Duration Emerging Market Debt Fund SGD-Hedged (Dist.),IE00BMN94165,Fixed Income,Short Duration IG,Emerging Markets,"SGD Cash, SRS",Distributing,4,0.58,5.0,5.9,6.6
Goldman Sachs Emerging Markets Corporate Bond Portfolio Fund,LU0622305505,Fixed Income,IG Corporate,Emerging Markets,USD Cash,Accumulating,5,0.85,7.9,7.4,
Goldman Sachs Emerging Markets Corporate Bond Portfolio Fund AUD-Hedged (Dist.),LU1623917553,Fixed Income,IG Corporate,Emerging Markets,AUD Cash,Distributing,5,0.76,7.4,6.6,5.5
Goldman Sachs Emerging Markets Corporate Bond Portfolio Fund SGD-Hedged (Dist.),LU1574459795,Fixed Income,IG Corporate,Emerging Markets,SGD Cash,Distributing,5,0.76,5.1,5.3,5.6
PIMCO GIS Capital Securities Fund,IE00B6VH4D24,Fixed Income,Investment Grade,Global,USD Cash,Accumulating,5,0.79,9.5,11.1,
PIMCO GIS Capital Securities Fund SGD-Hedged (Dist.),IE000VTLDQA1,Fixed Income,Investment Grade,Global,"SGD Cash, SRS",Distributing,5,0.79,6.6,8.8,5.1
PIMCO GIS Income Fund,IE00B87KCF77,Fixed Income,Investment Grade,Global,USD Cash,Accumulating,2,0.55,7.2,7.3,
PIMCO GIS Income Fund (Dist.),IE00B8JDQ960,Fixed Income,Investment Grade,Global,USD Cash,Distributing,2,0.55,7.2,7.4,6.0
PIMCO GIS Income Fund GBP-Hedged (Dist.),IE00B8RHFL59,Fixed Income,Investment Grade,Global,GBP Cash,Distributing,2,0.55,6.9,7.0,6.2
PIMCO GIS Income Fund AUD-Hedged,IE00BYVP8G39,Fixed Income,Investment Grade,Global,AUD Cash,Accumulating,2,0.55,6.7,6.3,
PIMCO GIS Income Fund AUD-Hedged (Dist.),IE00BD971V01,Fixed Income,Investment Grade,Global,AUD Cash,Distributing,2,0.55,6.2,5.8,6.5
PIMCO GIS Income Fund EUR-Hedged,IE00B80G9288,Fixed Income,Investment Grade,Global,EUR Cash,Accumulating,2,0.55,4.9,5.3,
PIMCO GIS Income Fund SGD-Hedged (Dist.),IE00BSTL7535,Fixed Income,Investment Grade,Global,"SGD Cash, SRS",Distributing,2,0.55,4.4,5.2,6.5
PIMCO GIS Low Duration Income Fund,IE00BDT57R20,Fixed Income,Short Duration IG,Global,USD Cash,Accumulating,2,0.55,7.6,7.6,
PIMCO GIS Low Duration Income Fund SGD-Hedged,IE00BMY4TJ39,Fixed Income,Short Duration IG,Global,"SGD Cash, SRS",Accumulating,2,0.55,4.8,5.4,
PIMCO GIS Global Investment Grade Credit Fund,IE0034085260,Fixed Income,IG Corporate,Global,USD Cash,Accumulating,2,0.49,4.7,5.6,
PIMCO GIS Global Investment Grade Credit Fund (Dist.),IE0033386453,Fixed Income,IG Corporate,Global,USD Cash,Distributing,2,0.49,4.7,5.6,4.5
PIMCO GIS Diversified Income Fund AUD-Hedged (Dist.),IE00B95MX153,Fixed Income,Investment Grade,Global,AUD Cash,Distributing,3,0.88,7.2,6.1,4.8
PIMCO GIS Diversified Income Fund SGD-Hedged (Dist.),IE00BK5WW150,Fixed Income,Investment Grade,Global,"SGD Cash, SRS",Distributing,3,0.69,6.0,5.8,5.8
PIMCO GIS ESG Income Fund,IE00BMW4NH15,Fixed Income,Investment Grade,Global,USD Cash,Accumulating,2,0.59,5.8,5.7,
Wellington Credit Income (Dist.),LU2361429496,Fixed Income,IG Corporate,Global,USD Cash,Distributing,3,0.84,8.5,7.8,6.6
Wellington Credit Income SGD-Hedged (Dist.),LU2361428332,Fixed Income,IG Corporate,Global,SGD Cash,Distributing,3,0.84,5.3,5.4,4.2
Robeco Credit Income Fund (Dist.),LU1806346737,Fixed Income,Credit,Global,USD Cash,Distributing,3,0.71,6.1,6.5,6.1
Allspring Climate Transition Global Investment Grade Credit Fund,LU1826612522,Fixed Income,IG Climate,Global,USD Cash,Accumulating,2,0.45,4.5,5.5,
HSBC GIF Ultra Short Duration Bond Fund (Dist.),LU2334455339,Fixed Income,Ultra Short,Global,USD Cash,Distributing,2,0.33,4.4,5.4,4.3
JPM Income Fund,LU1041599405,Fixed Income,Multi-Sector,Global,USD Cash,Accumulating,2,0.69,4.7,5.4,
JPM Income Fund (Dist.),LU1128926489,Fixed Income,Multi-Sector,Global,USD Cash,Distributing,2,0.7,4.7,5.4,6.3
